object,label,mesh_path,mesh_units,mesh_scale,mass_kg,com_x_m,com_y_m,com_z_m,inertia_xx_kgm2,inertia_yy_kgm2,inertia_zz_kgm2,size_x_m,size_y_m,size_z_m,major_axis,grasp_width_m,grasp_target_x_m,grasp_target_y_m,grasp_target_z_m,grasp_mode,force_target_n,damage_failure_criterion,source
paper_big_screwdriver,Big Screwdriver,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,line,6,,<measurement/source>
paper_bottle,Bottle,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,plane5,6,,<measurement/source>
paper_can,Can,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,plane5,6,,<measurement/source>
paper_charger,Charger,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,plane4,6,,<measurement/source>
paper_metal_cup,Metal Cup,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,plane5,6,,<measurement/source>
paper_mustard,Mustard,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,plane5,6,,<measurement/source>
paper_orange,Orange,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,plane5,6,,<measurement/source>
paper_pen,Pen,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,line,6,,<measurement/source>
paper_small_screwdriver,Small Screwdriver,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,line,6,,<measurement/source>
paper_sugar_box,Sugar Box,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,plane4,6,,<measurement/source>
paper_egg,Egg,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,line,<required>,<required>,<measurement/source>
paper_nut,Nut,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,line,<required>,<required>,<measurement/source>
paper_paper_cup,Paper Cup,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,plane5,<required>,<required>,<measurement/source>
paper_raspberry,Raspberry,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,line,<required>,<required>,<measurement/source>
paper_strawberry,Strawberry,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,<required>,line,<required>,<required>,<measurement/source>
