Summary_Level,Source_File,Mode,Speed_Label,Speed_Value,Force_Limit_g,Trial_Count,Onset_Angle_Mean,Onset_Angle_Variance,Onset_Angle_Std,Onset_Angle_Min,Onset_Angle_Max,Onset_Time_Mean_s,Peak_Force_Mean_g,Peak_Force_Variance_g2,Overshoot_Mean_g,Overshoot_Variance_g2,Within_CSV_Var_Mean,Between_CSV_Var_Of_Means
file,middlefinger_hybrid_force1000_20trials_20260303-184313.csv,hybrid,hybrid,hybrid,1000,20,690.350000,1.527500,1.235921,687,692,4.569583,1264.850000,2907.127500,264.850000,2907.127500,,
file,middlefinger_hybrid_force100_20trials_20260303-185957.csv,hybrid,hybrid,hybrid,100,20,692.000000,0.000000,0.000000,692,692,4.222266,123.410000,27.425900,23.410000,27.425900,,
file,middlefinger_hybrid_force250_20trials_20260303-185511.csv,hybrid,hybrid,hybrid,250,20,692.500000,0.750000,0.866025,692,694,4.427228,296.420000,18.695600,46.420000,18.695600,,
file,middlefinger_hybrid_force500_20trials_20260303-185150.csv,hybrid,hybrid,hybrid,500,20,692.000000,0.000000,0.000000,692,692,4.616510,571.700000,322.566000,71.700000,322.566000,,
file,middlefinger_hybrid_force750_20trials_20260303-184632.csv,hybrid,hybrid,hybrid,750,20,691.950000,0.047500,0.217945,691,692,4.387218,892.260000,1663.072400,142.260000,1663.072400,,
file,middlefinger_speed1000_force1000_20trials_20260303-170435.csv,speed,speed1000,1000,1000,20,653.300000,50.710000,7.121095,648,663,2.417219,1701.350000,1565.227500,701.350000,1565.227500,,
file,middlefinger_speed1000_force100_20trials_20260303-170654.csv,speed,speed1000,1000,100,20,652.400000,49.140000,7.009993,644,663,2.429435,1694.900000,669.190000,1594.900000,669.190000,,
file,middlefinger_speed1000_force250_20trials_20260303-165917.csv,speed,speed1000,1000,250,20,651.800000,52.160000,7.222188,644,664,2.276188,1687.750000,513.887500,1437.750000,513.887500,,
file,middlefinger_speed1000_force500_20trials_20260303-165337.csv,speed,speed1000,1000,500,20,655.350000,53.327500,7.302568,644,665,2.403366,1680.850000,747.827500,1180.850000,747.827500,,
file,middlefinger_speed1000_force750_20trials_20260303-170240.csv,speed,speed1000,1000,750,20,655.250000,56.787500,7.535748,648,664,2.229036,1723.900000,611.090000,973.900000,611.090000,,
file,middlefinger_speed100_force1000_20trials_20260303-174306.csv,speed,speed100,100,1000,20,686.600000,7.640000,2.764055,679,691,3.288994,1368.930000,9495.553100,368.930000,9495.553100,,
file,middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,20,687.550000,4.547500,2.132487,683,690,3.454393,209.950000,151.647500,109.950000,151.647500,,
file,middlefinger_speed100_force250_20trials_20260303-175147.csv,speed,speed100,100,250,20,688.100000,3.490000,1.868154,685,690,3.274864,599.250000,319.687500,349.250000,319.687500,,
file,middlefinger_speed100_force500_20trials_20260303-174957.csv,speed,speed100,100,500,20,688.150000,3.227500,1.796524,686,690,3.455036,1054.000000,2279.600000,554.000000,2279.600000,,
file,middlefinger_speed100_force750_20trials_20260303-174453.csv,speed,speed100,100,750,20,686.700000,4.510000,2.123676,683,690,3.455299,1183.860000,15664.336400,433.860000,15664.336400,,
file,middlefinger_speed250_force1000_20trials_20260303-173430.csv,speed,speed250,250,1000,20,676.800000,9.760000,3.124100,675,683,2.775674,1458.260000,10526.184400,458.260000,10526.184400,,
file,middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,20,675.700000,9.310000,3.051229,668,682,2.868733,574.560000,18416.558400,474.560000,18416.558400,,
file,middlefinger_speed250_force250_20trials_20260303-173935.csv,speed,speed250,250,250,20,675.800000,14.860000,3.854867,668,683,3.012641,1047.250000,638.387500,797.250000,638.387500,,
file,middlefinger_speed250_force500_20trials_20260303-173758.csv,speed,speed250,250,500,20,678.000000,17.800000,4.219005,668,683,2.632577,1072.600000,23846.312000,572.600000,23846.312000,,
file,middlefinger_speed250_force750_20trials_20260303-173609.csv,speed,speed250,250,750,20,675.800000,9.260000,3.043025,668,682,2.578154,1419.490000,15549.781900,669.490000,15549.781900,,
file,middlefinger_speed25_force1000_20trials_20260303-180801.csv,speed,speed25,25,1000,20,688.100000,2.390000,1.545962,686,690,7.051979,1233.770000,5709.005100,233.770000,5709.005100,,
file,middlefinger_speed25_force100_20trials_20260303-183518.csv,speed,speed25,25,100,20,689.350000,0.227500,0.476970,689,690,7.623570,142.750000,33.187500,42.750000,33.187500,,
file,middlefinger_speed25_force250_20trials_20260303-183208.csv,speed,speed25,25,250,20,689.600000,0.240000,0.489898,689,690,7.142990,297.900000,42.754000,47.900000,42.754000,,
file,middlefinger_speed25_force500_20trials_20260303-181431.csv,speed,speed25,25,500,20,688.800000,1.960000,1.400000,686,690,6.834811,549.330000,196.749100,49.330000,196.749100,,
file,middlefinger_speed25_force750_20trials_20260303-181122.csv,speed,speed25,25,750,20,688.950000,0.347500,0.589491,688,690,6.937415,879.490000,1867.397900,129.490000,1867.397900,,
file,middlefinger_speed500_force1000_20trials_20260303-172317.csv,speed,speed500,500,1000,20,664.350000,29.827500,5.461456,660,673,2.802963,1503.840000,9242.746400,503.840000,9242.746400,,
file,middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,20,663.700000,26.610000,5.158488,660,673,2.679187,826.600000,17350.440000,726.600000,17350.440000,,
file,middlefinger_speed500_force250_20trials_20260303-173009.csv,speed,speed500,500,250,20,665.450000,38.447500,6.200605,655,673,2.438177,1162.350000,793.827500,912.350000,793.827500,,
file,middlefinger_speed500_force500_20trials_20260303-172840.csv,speed,speed500,500,500,20,666.950000,35.447500,5.953780,661,673,2.248823,1485.990000,9753.901900,985.990000,9753.901900,,
file,middlefinger_speed500_force750_20trials_20260303-172456.csv,speed,speed500,500,750,20,664.450000,29.047500,5.389573,660,673,2.641807,1466.980000,20938.607600,716.980000,20938.607600,,
file,middlefinger_speed50_force1000_20trials_20260303-175516.csv,speed,speed50,50,1000,20,688.300000,1.610000,1.268858,686,690,4.553443,1307.720000,10123.185600,307.720000,10123.185600,,
file,middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,20,687.400000,0.940000,0.969536,686,689,4.692760,156.300000,103.510000,56.300000,103.510000,,
file,middlefinger_speed50_force250_20trials_20260303-182925.csv,speed,speed50,50,250,20,686.950000,1.047500,1.023474,686,689,4.876168,338.900000,79.370000,88.900000,79.370000,,
file,middlefinger_speed50_force500_20trials_20260303-180058.csv,speed,speed50,50,500,20,687.900000,2.090000,1.445683,685,691,4.485013,791.600000,1082.740000,291.600000,1082.740000,,
file,middlefinger_speed50_force750_20trials_20260303-175838.csv,speed,speed50,50,750,20,687.900000,1.390000,1.178983,686,690,4.679630,1141.350000,2163.727500,391.350000,2163.727500,,
file,middlefinger_speed750_force1000_20trials_20260303-171447.csv,speed,speed750,750,1000,20,653.100000,26.290000,5.127377,646,658,2.415109,1700.200000,1253.260000,700.200000,1253.260000,,
file,middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,20,653.800000,22.360000,4.728636,646,658,2.402761,1658.700000,1853.410000,1558.700000,1853.410000,,
file,middlefinger_speed750_force250_20trials_20260303-172019.csv,speed,speed750,750,250,20,651.750000,21.787500,4.667708,646,657,2.438393,1660.750000,1550.687500,1410.750000,1550.687500,,
file,middlefinger_speed750_force500_20trials_20260303-171840.csv,speed,speed750,750,500,20,652.700000,25.410000,5.040833,644,658,2.692404,1666.150000,11771.227500,1166.150000,11771.227500,,
file,middlefinger_speed750_force750_20trials_20260303-171706.csv,speed,speed750,750,750,20,654.500000,19.050000,4.364631,647,658,2.558579,1692.250000,1677.687500,942.250000,1677.687500,,
speed,,speed,speed25,25,,100,688.960000,1.298400,1.139474,686,690,7.118153,620.648000,157681.177696,100.648000,7034.097696,,
speed,,speed,speed50,50,,100,687.690000,1.633900,1.278241,685,691,4.657403,747.174000,200186.496524,227.174000,19892.456524,,
speed,,speed,speed100,100,,100,687.420000,5.123600,2.263537,679,691,3.385717,883.198000,183461.339596,363.198000,26734.259596,,
speed,,speed,speed250,250,,100,676.420000,12.983600,3.603276,668,683,2.773556,1114.432000,115596.082976,594.432000,29826.962976,,
speed,,speed,speed500,500,,100,664.980000,33.159600,5.758437,655,673,2.562191,1289.152000,80914.311296,769.152000,40105.391296,,
speed,,speed,speed750,750,,100,653.170000,23.861100,4.884782,644,658,2.501449,1675.610000,3916.817900,1155.610000,99743.217900,,
speed,,speed,speed1000,1000,,100,653.620000,54.535600,7.384822,644,665,2.351049,1697.750000,1039.547500,1177.750000,102848.547500,,
speed,,hybrid,hybrid,hybrid,,100,691.760000,1.002400,1.001199,687,694,4.444561,629.728000,169612.256416,109.728000,8592.976416,,
overall,,all,all,all,,800,675.502500,244.839994,15.647364,644,694,3.724260,1082.211500,282114.833468,562.211500,209911.068468,,
overall_decomposed,,all,all,all,,800,675.502500,244.839994,15.647364,,,,,,,15.884375,228.955619
force_speed,,speed,speed25,25,100,20,689.350000,0.227500,0.476970,689,690,7.623570,142.750000,33.187500,42.750000,33.187500,,
force_speed,,speed,speed50,50,100,20,687.400000,0.940000,0.969536,686,689,4.692760,156.300000,103.510000,56.300000,103.510000,,
force_speed,,speed,speed100,100,100,20,687.550000,4.547500,2.132487,683,690,3.454393,209.950000,151.647500,109.950000,151.647500,,
