Source_File,Mode,Speed_Label,Speed_Value,Force_Limit_g,Force_Trigger_g,Trial_Index,Trial_Name,Sample_Count,Median_dt_s,Baseline_Mean_g,Baseline_Std_g,Onset_Threshold_g,Onset_Trial_Elapsed_s,Onset_Force_g,Onset_Angle,Peak_Force_g,Peak_Force_Trial_Elapsed_s,Peak_Force_Angle,Overshoot_g
middlefinger_speed25_force100_20trials_20260303-183518.csv,speed,speed25,25,100,60,1,speed_01,614,0.012516,-2.000000,0.000000,18.000000,6.832131,22.200000,690,144.000000,7.270655,683,44.000000
middlefinger_speed25_force100_20trials_20260303-183518.csv,speed,speed25,25,100,60,2,speed_02,518,0.012474,-1.000000,0.000000,19.000000,6.429034,23.000000,689,136.000000,6.804419,683,36.000000
middlefinger_speed25_force100_20trials_20260303-183518.csv,speed,speed25,25,100,60,3,speed_03,765,0.012482,-1.000000,0.000000,19.000000,7.271315,22.600000,689,144.000000,7.681069,683,44.000000
middlefinger_speed25_force100_20trials_20260303-183518.csv,speed,speed25,25,100,60,4,speed_04,418,0.012493,-2.000000,0.000000,18.000000,6.364797,22.600000,689,141.000000,6.789310,683,41.000000
middlefinger_speed25_force100_20trials_20260303-183518.csv,speed,speed25,25,100,60,5,speed_05,429,0.012476,-1.000000,0.000000,19.000000,6.479136,21.400000,689,142.000000,6.865331,683,42.000000
middlefinger_speed25_force100_20trials_20260303-183518.csv,speed,speed25,25,100,60,6,speed_06,435,0.012498,-2.000000,0.000000,18.000000,6.951718,19.200000,689,137.000000,7.314008,684,37.000000
middlefinger_speed25_force100_20trials_20260303-183518.csv,speed,speed25,25,100,60,7,speed_07,617,0.012512,-2.000000,0.000000,18.000000,7.639648,18.800000,690,144.000000,8.085342,683,44.000000
middlefinger_speed25_force100_20trials_20260303-183518.csv,speed,speed25,25,100,60,8,speed_08,1017,0.012486,-1.000000,0.000000,19.000000,14.500037,21.400000,689,154.000000,14.962878,683,54.000000
middlefinger_speed25_force100_20trials_20260303-183518.csv,speed,speed25,25,100,60,9,speed_09,438,0.012495,-2.000000,0.000000,18.000000,6.521395,23.200000,689,148.000000,7.046914,683,48.000000
middlefinger_speed25_force100_20trials_20260303-183518.csv,speed,speed25,25,100,60,10,speed_10,510,0.012484,-2.000000,0.000000,18.000000,6.411002,20.000000,690,133.000000,6.736322,684,33.000000
