Sample_Index,Experiment_Elapsed_s,Trial_Elapsed_s,Timestamp_Epoch,Trial_Index,Trial,Mode,Commanded_Speed,Stage,Middle_Angle,Middle_Force_g,Middle_Force_N,Force_Limit_g,Force_Trigger_g
1,0.000245,0.000000,1772596752.112898,1,hybrid_01,hybrid,1000,open,1000,0,0.0000,500,300
2,0.012749,0.012452,1772596752.125401,1,hybrid_01,hybrid,1000,open,1000,0,0.0000,500,300
3,0.037526,0.037229,1772596752.150178,1,hybrid_01,hybrid,1000,open,1000,0,0.0000,500,300
4,0.049892,0.049595,1772596752.162544,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
5,0.062205,0.061908,1772596752.174857,1,hybrid_01,hybrid,1000,open,1000,4,4.0000,500,300
6,0.074402,0.074105,1772596752.187054,1,hybrid_01,hybrid,1000,open,988,1,1.0000,500,300
7,0.086753,0.086457,1772596752.199406,1,hybrid_01,hybrid,1000,open,988,1,1.0000,500,300
8,0.099096,0.098800,1772596752.211749,1,hybrid_01,hybrid,1000,open,988,1,1.0000,500,300
9,0.111381,0.111084,1772596752.224033,1,hybrid_01,hybrid,1000,open,990,2,2.0000,500,300
10,0.123724,0.123428,1772596752.236377,1,hybrid_01,hybrid,1000,open,990,2,2.0000,500,300
11,0.136016,0.135719,1772596752.248668,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
12,0.148216,0.147919,1772596752.260868,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
13,0.160505,0.160208,1772596752.273157,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
14,0.172808,0.172511,1772596752.285460,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
15,0.185092,0.184795,1772596752.297744,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
16,0.197288,0.196991,1772596752.309940,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
17,0.209641,0.209344,1772596752.322293,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
18,0.222007,0.221710,1772596752.334659,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
19,0.234216,0.233920,1772596752.346869,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
20,0.246513,0.246217,1772596752.359165,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
21,0.258963,0.258666,1772596752.371615,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
22,0.271285,0.270988,1772596752.383938,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
23,0.283648,0.283351,1772596752.396300,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
24,0.296118,0.295821,1772596752.408770,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
25,0.308471,0.308175,1772596752.421124,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
26,0.321055,0.320758,1772596752.433707,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
27,0.333235,0.332938,1772596752.445887,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
28,0.345479,0.345182,1772596752.458131,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
29,0.357881,0.357584,1772596752.470533,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
30,0.370278,0.369982,1772596752.482930,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
31,0.382905,0.382608,1772596752.495557,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
32,0.395406,0.395109,1772596752.508058,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
33,0.408002,0.407705,1772596752.520654,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
34,0.420186,0.419889,1772596752.532838,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
35,0.432391,0.432094,1772596752.545043,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
36,0.444735,0.444439,1772596752.557388,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
37,0.457157,0.456860,1772596752.569809,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
38,0.469674,0.469377,1772596752.582326,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
39,0.482223,0.481926,1772596752.594875,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
40,0.494661,0.494364,1772596752.607313,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
41,0.507216,0.506919,1772596752.619868,1,hybrid_01,hybrid,1000,open,999,2,2.0000,500,300
42,1.920224,1.919927,1772596754.032876,1,hybrid_01,hybrid,1000,approach,999,2,2.0000,500,300
