Sample_Index,Experiment_Elapsed_s,Trial_Elapsed_s,Timestamp_Epoch,Trial_Index,Trial,Mode,Commanded_Speed,Stage,Middle_Angle,Middle_Force_g,Middle_Force_N,Force_Limit_g,Force_Trigger_g
1,0.000204,0.000000,1772583287.371011,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
2,0.012602,0.012342,1772583287.383410,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
3,0.024869,0.024609,1772583287.395676,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
4,0.037304,0.037044,1772583287.408111,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
5,0.061813,0.061553,1772583287.432621,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
6,0.074158,0.073899,1772583287.444966,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
7,0.086638,0.086378,1772583287.457446,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
8,0.098849,0.098589,1772583287.469656,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
9,0.111185,0.110925,1772583287.481992,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
10,0.123556,0.123296,1772583287.494363,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
11,0.135787,0.135527,1772583287.506594,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
12,0.148127,0.147868,1772583287.518935,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
13,0.160586,0.160326,1772583287.531394,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
14,0.172848,0.172589,1772583287.543656,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
15,0.185161,0.184902,1772583287.555969,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
16,0.197589,0.197329,1772583287.568397,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
17,0.209806,0.209546,1772583287.580613,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
18,0.222104,0.221844,1772583287.592911,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
19,0.234522,0.234262,1772583287.605330,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
20,0.246724,0.246464,1772583287.617532,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
21,0.259061,0.258802,1772583287.629869,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
22,0.271726,0.271467,1772583287.642534,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
23,0.284274,0.284014,1772583287.655082,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
24,0.296725,0.296465,1772583287.667532,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
25,0.309340,0.309080,1772583287.680147,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
26,0.321835,0.321575,1772583287.692642,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
27,0.334404,0.334145,1772583287.705212,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
28,0.346888,0.346629,1772583287.717696,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
29,0.359236,0.358976,1772583287.730043,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
30,0.371601,0.371341,1772583287.742409,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
31,0.383815,0.383556,1772583287.754623,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
32,0.396170,0.395911,1772583287.766978,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
33,0.408610,0.408351,1772583287.779418,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
34,0.420822,0.420563,1772583287.791630,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
35,0.433200,0.432940,1772583287.804008,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
36,0.445580,0.445321,1772583287.816388,1,speed_01,speed,1000,open,999,-2,-2.0000,1000,600
