Sample_Index,Experiment_Elapsed_s,Trial_Elapsed_s,Timestamp_Epoch,Trial_Index,Trial,Mode,Commanded_Speed,Stage,Middle_Angle,Middle_Force_g,Middle_Force_N,Force_Limit_g,Force_Trigger_g
1,0.000266,0.000000,1772589311.322874,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
2,0.012554,0.012188,1772589311.335161,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
3,0.037552,0.037186,1772589311.360160,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
4,0.050051,0.049685,1772589311.372659,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
5,0.062542,0.062176,1772589311.385150,1,hybrid_01,hybrid,1000,open,998,-2,-2.0000,250,150
6,0.075024,0.074658,1772589311.397631,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
7,0.087497,0.087131,1772589311.410104,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
8,0.099849,0.099483,1772589311.422456,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
9,0.112459,0.112093,1772589311.435066,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
10,0.124806,0.124440,1772589311.447413,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
11,0.137437,0.137071,1772589311.460044,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
12,0.149794,0.149428,1772589311.472402,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
13,0.162367,0.162001,1772589311.484974,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
14,0.174756,0.174390,1772589311.497364,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
15,0.187306,0.186940,1772589311.509914,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
16,0.199576,0.199210,1772589311.522184,1,hybrid_01,hybrid,1000,open,998,-2,-2.0000,250,150
17,0.212108,0.211742,1772589311.534716,1,hybrid_01,hybrid,1000,open,998,-2,-2.0000,250,150
18,0.224550,0.224185,1772589311.547158,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
19,0.236971,0.236605,1772589311.559579,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
20,0.249514,0.249149,1772589311.572122,1,hybrid_01,hybrid,1000,open,999,-2,-2.0000,250,150
21,0.261954,0.261588,1772589311.584561,1,hybrid_01,hybrid,1000,open,998,-2,-2.0000,250,150
