Sample_Index,Experiment_Elapsed_s,Trial_Elapsed_s,Timestamp_Epoch,Trial_Index,Trial,Mode,Commanded_Speed,Stage,Middle_Angle,Middle_Force_g,Middle_Force_N,Force_Limit_g,Force_Trigger_g
1,0.000315,0.000000,1772585397.782133,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
2,0.012771,0.012383,1772585397.794589,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
3,0.037685,0.037297,1772585397.819503,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
4,0.050162,0.049774,1772585397.831980,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
5,0.062679,0.062291,1772585397.844497,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
6,0.074999,0.074611,1772585397.856817,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
7,0.087460,0.087072,1772585397.869279,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
8,0.099717,0.099329,1772585397.881535,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
9,0.112009,0.111621,1772585397.893827,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
10,0.124297,0.123909,1772585397.906116,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
11,0.136686,0.136298,1772585397.918505,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
12,0.148999,0.148611,1772585397.930818,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
13,0.161455,0.161067,1772585397.943273,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
14,0.173766,0.173378,1772585397.955585,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
15,0.186130,0.185742,1772585397.967948,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
16,0.198640,0.198252,1772585397.980458,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
17,0.210983,0.210595,1772585397.992801,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
18,0.223392,0.223003,1772585398.005210,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
19,0.235780,0.235392,1772585398.017598,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
20,0.248129,0.247741,1772585398.029947,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
21,0.260634,0.260246,1772585398.042452,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
22,0.272845,0.272457,1772585398.054664,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
23,0.285143,0.284755,1772585398.066962,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
24,0.297585,0.297197,1772585398.079403,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
25,0.309851,0.309463,1772585398.091670,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
26,0.322256,0.321868,1772585398.104074,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
27,0.334616,0.334228,1772585398.116435,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
28,0.346927,0.346539,1772585398.128746,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
29,0.359211,0.358823,1772585398.141029,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
30,0.371605,0.371217,1772585398.153424,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
31,0.383869,0.383481,1772585398.165688,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
32,0.396223,0.395835,1772585398.178041,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
33,0.408598,0.408209,1772585398.190416,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
34,0.420743,0.420355,1772585398.202561,1,speed_01,speed,1000,open,999,-5,-5.0000,500,300
