timestamp_epoch,wrist_fx_N,wrist_fy_N,wrist_fz_N,wrist_f_norm_N,wrist_tx,wrist_ty,wrist_tz,index_force_N,thumb_force_N,hand_phase
1772146453.2963474,-0.1,-0.1,0.6,0.6164414002968976,0.02,-0.029,-0.008,-0.26444,0.321265,0
1772146453.3226492,0.1,-0.1,0.2,0.24494897427831783,-0.001,-0.024,-0.017,-0.26444,0.321265,0
1772146453.3490684,-0.4,-0.1,0.9,0.9899494936611666,0.01799,-0.04,-0.007,-0.26444,0.321265,0
1772146453.3753316,-0.3,-0.3,-0.9,0.99498743710662,0.01799,-0.014,-0.014,-0.26444,0.321265,0
1772146453.4015691,0.0,-0.1,-0.4,0.4123105625617661,-0.005,-0.011,-0.011,-0.26444,0.321265,0
1772146453.4278944,-0.2,-0.1,0.8,0.8306623862918076,0.00899,-0.012,-0.012,-0.26444,0.321265,0
1772146453.4542284,-0.2,-0.1,0.0,0.223606797749979,0.0,-0.00899,-0.01,-0.26444,0.321265,0
1772146453.4804401,-0.2,-0.1,0.0,0.223606797749979,0.007,-0.016,-0.012,-0.26444,0.321265,0
1772146453.5068045,0.1,-0.1,-0.4,0.42426406871192857,0.016,0.013,-0.012,-0.26444,0.321265,0
1772146453.533178,-0.2,0.0,0.6,0.6324555320336759,-0.001,-0.007,-0.012,-0.26444,0.321265,0
1772146453.5593877,-0.1,-0.1,0.4,0.42426406871192857,0.0,-0.01799,-0.005,-0.26444,0.321265,0
1772146453.5856307,-0.2,0.0,-0.7,0.7280109889280517,0.013,0.015,-0.008,-0.26444,0.321265,0
1772146453.6119695,-0.2,-0.1,0.8,0.8306623862918076,0.00899,-0.001,-0.012,-0.26444,0.321265,0
1772146453.6382892,-0.1,-0.1,0.1,0.17320508075688776,0.015,-0.00899,-0.011,-0.26444,0.321265,0
1772146453.6644855,-0.2,-0.2,0.8,0.8485281374238571,0.007,-0.002,-0.011,-0.26444,0.321265,0
1772146453.6908073,0.1,-0.2,-0.6,0.6403124237432849,0.008,0.027,-0.00899,-0.26444,0.321265,0
1772146453.717168,0.1,-0.2,-0.2,0.30000000000000004,0.003,-0.007,-0.006,-0.26444,0.321265,0
1772146453.7433999,0.1,-0.1,0.8,0.8124038404635961,-0.006,0.006,-0.002,-0.26444,0.321265,0
1772146453.7696228,0.0,-0.1,0.2,0.223606797749979,0.02,0.001,-0.013,-0.26444,0.321265,0
1772146453.7960668,0.0,-0.1,0.5,0.5099019513592785,0.006,0.004,-0.008,-0.26444,0.321265,0
1772146453.8223424,-0.1,-0.1,-0.3,0.33166247903553997,0.022,0.006,-0.00899,-0.26444,0.321265,0
1772146453.848595,-0.1,-0.1,0.7,0.714142842854285,0.013,-0.022,-0.007,-0.26444,0.321265,0
1772146453.8748987,-0.1,0.0,-0.4,0.4123105625617661,0.012,0.011,-0.00899,-0.26444,0.321265,0
1772146453.9013278,-0.1,0.0,0.5,0.5099019513592785,0.004,-0.006,-0.01,-0.26444,0.321265,0
1772146453.9275413,-0.2,0.0,0.8,0.8246211251235323,0.01,-0.002,-0.012,-0.26444,0.321265,0
1772146453.953831,0.0,-0.2,-1.1,1.118033988749895,0.00899,0.005,-0.00899,-0.26444,0.321265,0
1772146453.9800537,-0.1,0.0,1.1,1.104536101718726,0.016,-0.008,-0.008,-0.26444,0.321265,0
1772146454.0063457,-0.1,-0.1,-0.3,0.33166247903553997,0.004,0.001,-0.013,-0.26444,0.321265,0
1772146454.0325596,-0.1,-0.1,-0.1,0.17320508075688776,-0.003,0.012,-0.005,-0.26444,0.321265,0
1772146454.0588784,-0.1,0.0,0.1,0.14142135623730953,0.002,0.004,-0.01,-0.26444,0.321265,0
1772146454.0853071,-0.1,-0.1,0.3,0.33166247903553997,0.005,0.014,-0.007,-0.26444,0.321265,0
1772146454.1115372,-0.1,-0.1,-0.6,0.6164414002968976,0.011,0.005,-0.007,-0.26444,0.321265,0
1772146454.1379025,0.0,-0.2,-0.1,0.223606797749979,0.003,-0.01,-0.007,-0.26444,0.321265,0
1772146454.1643136,-0.1,-0.1,-0.6,0.6164414002968976,-0.002,0.002,-0.007,-0.26444,0.321265,0
1772146454.1906192,-0.1,-0.1,0.5,0.5196152422706632,0.003,0.008,-0.013,-0.26444,0.321265,0
1772146454.2168741,-0.1,-0.1,0.5,0.5196152422706632,0.012,-0.023,-0.00899,-0.26444,0.321265,0
1772146454.24321,-0.1,-0.1,0.8,0.8124038404635961,0.015,-0.013,-0.011,-0.26444,0.321265,0
1772146454.2694597,-0.2,0.0,-0.5,0.5385164807134505,0.012,-0.004,-0.01,-0.26444,0.321265,0
1772146454.2957323,0.0,0.0,0.7,0.7,0.005,0.007,-0.011,-0.26444,0.321265,0
1772146454.3220065,-0.2,0.0,-0.2,0.28284271247461906,0.01899,-0.00899,-0.012,-0.26444,0.321265,0
1772146454.3483794,-0.2,0.0,-0.2,0.28284271247461906,0.00899,-0.004,-0.013,-0.26444,0.321265,0
1772146454.3746536,-0.1,-0.1,0.8,0.8124038404635961,0.01,-0.003,-0.008,-0.26444,0.321265,0
1772146454.4009445,-0.2,0.0,0.9,0.9219544457292888,0.005,0.005,-0.01,-0.26444,0.321265,0
1772146454.427342,0.0,-0.1,-0.2,0.223606797749979,0.005,0.006,-0.007,-0.26444,0.321265,0
1772146454.4536712,-0.1,0.1,1.1,1.1090536506409419,0.006,-0.013,-0.011,-0.26444,0.321265,0
1772146454.479889,0.0,-0.1,1.2,1.2041594578792296,0.001,-0.006,-0.005,-0.26444,0.321265,0
1772146454.506158,-0.2,0.0,0.4,0.447213595499958,0.011,-0.011,-0.01,-0.26444,0.321265,0
1772146454.5324621,0.1,-0.1,0.9,0.9110433579144299,0.004,0.00899,-0.005,-0.26444,0.321265,0
