timestamp_epoch,wrist_fx_N,wrist_fy_N,wrist_fz_N,wrist_f_norm_N,wrist_tx,wrist_ty,wrist_tz,index_force_N,thumb_force_N,hand_phase
1772146014.5013945,0.2,0.3,-0.9,0.9695359714832659,-0.021,-0.017,-0.007,-0.271918,0.321265,0
1772146014.5276668,0.1,0.4,-0.8,0.9000000000000001,-0.035,0.0,-0.013,-0.271918,0.321265,0
1772146014.554069,0.1,0.3,0.6,0.6782329983125268,-0.025,0.001,-0.011,-0.271918,0.321265,0
1772146014.580374,0.1,0.3,0.5,0.5916079783099616,-0.034,-0.024,-0.007,-0.271918,0.321265,0
1772146014.6066298,0.2,0.4,0.3,0.5385164807134505,-0.035,0.001,-0.008,-0.271918,0.321265,0
1772146014.63307,0.0,0.2,-0.5,0.5385164807134505,-0.029,0.003,-0.008,-0.271918,0.321265,0
1772146014.659321,0.1,0.4,0.0,0.4123105625617661,-0.028,-0.016,-0.01,-0.271918,0.321265,0
1772146014.6855924,0.0,0.4,-0.7,0.8062257748298549,-0.017,-0.00899,-0.012,-0.271918,0.321265,0
1772146014.7120311,0.1,0.3,-0.8,0.8602325267042628,-0.027,-0.004,-0.01,-0.271918,0.321265,0
1772146014.7382925,0.0,0.4,-0.8,0.894427190999916,-0.026,-0.006,-0.008,-0.271918,0.321265,0
1772146014.76456,0.1,0.3,-0.4,0.5099019513592785,-0.022,-0.008,-0.003,-0.271918,0.321265,0
1772146014.790913,0.1,0.4,-0.2,0.45825756949558405,-0.03599,-0.003,-0.00899,-0.271918,0.321265,0
1772146014.8172815,0.1,0.3,-0.5,0.5916079783099616,-0.025,0.0,-0.00899,-0.271918,0.321265,0
1772146014.8435287,0.0,0.3,-1.1,1.140175425099138,-0.024,-0.016,-0.01,-0.271918,0.321265,0
1772146014.8698938,0.0,0.3,-0.7,0.7615773105863908,-0.032,-0.02,-0.012,-0.271918,0.321265,0
1772146014.896241,0.2,0.3,0.3,0.469041575982343,-0.043,0.001,-0.007,-0.271918,0.321265,0
1772146014.9225113,0.1,0.4,0.0,0.4123105625617661,-0.029,-0.002,-0.01,-0.271918,0.321265,0
1772146014.9487414,0.0,0.4,-1.5,1.5524174696260025,-0.028,0.001,-0.008,-0.271918,0.321265,0
1772146014.9751227,0.1,0.2,-1.3,1.319090595827292,-0.041,-0.008,-0.01,-0.271918,0.321265,0
1772146015.0013766,0.1,0.3,-0.8,0.8602325267042628,-0.037,0.003,-0.008,-0.271918,0.321265,0
1772146015.0276468,0.0,0.4,-0.7,0.8062257748298549,-0.039,0.008,-0.008,-0.271918,0.321265,0
1772146015.0539315,0.1,0.3,0.0,0.31622776601683794,-0.032,-0.004,-0.01,-0.271918,0.321265,0
1772146015.0803192,0.0,0.4,-0.9,0.9848857801796105,-0.027,-0.003,-0.01,-0.271918,0.321265,0
